College,Department,Category,Cutoff
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,1G,10362
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,2AG,10866
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,2AR,11476
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,2BG,12715
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,3AG,7157
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,3BG,7979
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,GM,6491
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,GMK,8135
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,GMR,9067
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,SCG,27948
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,SCK,36559
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,SCR,37378
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,STG,32536
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AI Artificial Intelligence,STR,35989
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,AR Architecture,GM,503
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,1G,98609
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,2AG,84690
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,2AK,94377
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,2AR,113375
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,2BG,135975
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,2BR,161714
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,3AG,73502
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,3AR,84511
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,3BG,84670
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,3BR,102557
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,GM,60289
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,CE Civil,GMK,69405
